999,Guelph,AA,-5.0,38,-85,197.5994110107422
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
1/2/1900,13:00,0,0,520.3763,0,0,953.66016,0,0,58.558727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.988026,0,0,2.1867774,0,0,34.593082,0,0,990.60156,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/2/1900,14:00,0,0,502.25894,0,0,946.35803,0,0,56.94061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.19257,0,0,2.125293,0,0,31.936716,0,0,990.4038,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/2/1900,15:00,0,0,424.62653,0,0,904.7438,0,0,55.100994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.641638,0,0,2.9647706,0,0,32.97599,0,0,990.206,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/2/1900,16:00,0,0,295.03366,0,0,813.6418,0,0,49.22838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.133228,0,0,3.426137,0,0,35.171204,0,0,990.00824,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/2/1900,17:00,0,0,135.09518,0,0,638.4699,0,0,33.688396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.583662,0,0,3.808876,0,0,39.830013,0,0,989.8105,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/2/1900,18:00,0,0,1.9130518,0,0,0.0,0,0,1.9130518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.481083,0,0,4.8325577,0,0,48.94146,0,0,989.6127,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/2/1900,19:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.851274,0,0,5.428686,0,0,53.13664,0,0,989.4149,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/2/1900,20:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.221464,0,0,5.7261257,0,0,56.50635,0,0,989.21716,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/2/1900,21:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.591655,0,0,6.867663,0,0,63.711784,0,0,989.01935,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/2/1900,22:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.961845,0,0,7.4851065,0,0,69.26881,0,0,988.8216,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/2/1900,23:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.332036,0,0,6.905476,0,0,69.3768,0,0,988.62384,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/2/1900,24:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.702227,0,0,7.3569593,0,0,74.60474,0,0,988.426,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/3/1900,01:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.837772,0,0,7.2652826,0,0,78.52089,0,0,988.2283,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/3/1900,02:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.90966,0,0,7.1649947,0,0,82.981064,0,0,988.0305,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/3/1900,03:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.981548,0,0,6.388791,0,0,83.738144,0,0,987.8327,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/3/1900,04:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.485663,0,0,6.4620852,0,0,87.04405,0,0,987.63495,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/3/1900,05:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9897795,0,0,6.423849,0,0,89.79759,0,0,987.4372,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/3/1900,06:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4938955,0,0,6.657881,0,0,94.410904,0,0,987.2394,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/3/1900,07:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.142375,0,0,7.142375,0,0,100.0,0,0,987.0416,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/3/1900,08:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7908545,0,0,6.7908545,0,0,100.0,0,0,986.8439,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/3/1900,09:00,0,0,24.157743,0,0,0.0,0,0,24.157743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.520632,0,0,6.9902167,0,0,96.42202,0,0,986.64606,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/3/1900,10:00,0,0,146.17139,0,0,138.46303,0,0,112.62968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.460675,0,0,7.322374,0,0,86.45766,0,0,986.4483,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/3/1900,11:00,0,0,243.65411,0,0,179.25627,0,0,177.95485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.132154,0,0,6.649891,0,0,73.80127,0,0,986.25055,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/3/1900,12:00,0,0,328.28745,0,0,345.53943,0,0,172.96814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.630987,0,0,6.747215,0,0,67.28704,0,0,986.05273,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/3/1900,13:00,0,0,381.04538,0,0,423.4084,0,0,175.45898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.851378,0,0,6.8922205,0,0,62.74878,0,0,985.855,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/3/1900,14:00,0,0,354.98892,0,0,357.5761,0,0,186.13708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5011215,0,0,7.2762723,0,0,61.767555,0,0,985.7055,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/3/1900,15:00,0,0,262.14505,0,0,153.28752,0,0,199.23727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.511414,0,0,6.9227457,0,0,60.243565,0,0,985.5561,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/3/1900,16:00,0,0,175.85188,0,0,125.86432,0,0,137.55142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.939776,0,0,5.870884,0,0,58.13213,0,0,985.4066,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/3/1900,17:00,0,0,76.393456,0,0,65.25541,0,0,65.876335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.863998,0,0,5.577529,0,0,61.10441,0,0,985.25714,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/3/1900,18:00,0,0,1.1989021,0,0,0.0,0,0,1.1989021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.570799,0,0,5.509528,0,0,66.2303,0,0,985.1077,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/3/1900,19:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.808657,0,0,5.745109,0,0,70.82623,0,0,984.95825,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/3/1900,20:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.046514,0,0,5.089434,0,0,71.20054,0,0,984.8088,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
